ask_threshold,deny_threshold,dataset,total_cases,accuracy,deny_recall,deny_precision,attack_intervention_rate,complete_false_negative_rate,normal_task_disruption_rate,overblocking_rate,macro_f1,combo_status,recommendation_score
20,50,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
20,50,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
20,50,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
20,50,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
25,50,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
25,50,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
25,50,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
25,50,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
30,50,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
30,50,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
30,50,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
30,50,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
35,50,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
35,50,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
35,50,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
35,50,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
20,55,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
20,55,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
20,55,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
20,55,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
25,55,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
25,55,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
25,55,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
25,55,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
30,55,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
30,55,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
30,55,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
30,55,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
35,55,dev_calibration,300,97.33,100.0,95.03,100.0,0.0,0.0,11.59,97.1,robust_region,79.0868
35,55,benchmark_jsonl_external_fixed,473,96.41,98.58,98.02,98.86,1.14,6.78,11.29,93.33,robust_region,79.0868
35,55,holdout_generated,300,96.67,100.0,94.38,100.0,0.0,0.0,16.95,95.95,robust_region,79.0868
35,55,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,79.0868
20,60,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,60,benchmark_jsonl_external_fixed,473,96.83,98.58,98.58,98.86,1.14,6.78,8.06,94.03,robust_region,80.5553
20,60,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,60,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
25,60,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,60,benchmark_jsonl_external_fixed,473,96.83,98.58,98.58,98.86,1.14,6.78,8.06,94.03,robust_region,80.5553
25,60,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
25,60,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
30,60,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,60,benchmark_jsonl_external_fixed,473,96.83,98.58,98.58,98.86,1.14,6.78,8.06,94.03,robust_region,80.5553
30,60,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
30,60,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
35,60,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,60,benchmark_jsonl_external_fixed,473,96.83,98.58,98.58,98.86,1.14,6.78,8.06,94.03,robust_region,80.5553
35,60,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
35,60,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
20,65,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,65,benchmark_jsonl_external_fixed,473,96.62,98.3,98.58,98.86,1.14,6.78,8.06,93.73,robust_region,80.5553
20,65,holdout_generated,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
20,65,redteam_unseen,150,100.0,100.0,100.0,100.0,0.0,0.0,0.0,33.33,robust_region,80.5553
25,65,dev_calibration,300,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,robust_region,80.5553
